country_name,rao_score_1_10,rao_regime
Turkiye,6.17,Fragile Opportunity
Turkmenistan,8.45,Robust Opportunity
Turks and Caicos Islands,3.67,Structural Risk
Tuvalu,3.65,Structural Risk
Uganda,7.81,Robust Opportunity
Ukraine,1.34,Structural Risk
United Arab Emirates,9.5,Robust Opportunity
United Kingdom,7.15,Robust Opportunity
United States,8.3,Robust Opportunity
Uruguay,3.91,Structural Risk
Uzbekistan,8.03,Robust Opportunity
Vanuatu,6.65,Fragile Opportunity
"Venezuela, RB",1.9,Structural Risk
Viet Nam,8.74,Robust Opportunity
Virgin Islands (U.S.),3.28,Structural Risk
West Bank and Gaza,0.2,Structural Risk
"Yemen, Rep.",0.5,Structural Risk
Zambia,6,Fragile Opportunity
Zimbabwe,2.5,Structural Risk
