country_name,rao_score_1_10,rao_regime
Serbia,5.8,Robust opportunity
Seychelles,6.1,Robust opportunity
Sierra Leone,2.4,Structural risk
Singapore,10,Fragile opportunity
Slovak Republic,6,Robust opportunity
Slovenia,7.1,Fragile opportunity
Solomon Islands,2.6,Stable but low opportunity
"Somalia, Fed. Rep.",1.9,Structural risk
South Africa,3.1,Stable but low opportunity
South Asia,6.1,Robust opportunity
South Sudan,1,Structural risk
Spain,7.7,Fragile opportunity
Sri Lanka,9.3,Fragile opportunity
St. Kitts and Nevis,7.4,Fragile opportunity
St. Lucia,5.1,Stable but low opportunity
St. Vincent and the Grenadines,4.9,Stable but low opportunity
Sudan,1.3,Structural risk
Suriname,8.7,Fragile opportunity
Sweden,8.5,Robust opportunity
Switzerland,6.6,Robust opportunity
Syrian Arab Republic,1.4,Structural risk
Tajikistan,8.8,Robust opportunity
Tanzania,3.9,Structural risk
Thailand,3.8,Stable but low opportunity
Timor-Leste,9.9,Fragile opportunity
Togo,2,Stable but low opportunity
Tonga,6.5,Robust opportunity
Tunisia,3.3,Stable but low opportunity
Turkiye,6.9,Robust opportunity
Uganda,4.4,Stable but low opportunity
Ukraine,3,Structural risk
United Arab Emirates,4.8,Structural risk
United Kingdom,9.2,Fragile opportunity
United States,7.9,Fragile opportunity
Uruguay,5.2,Stable but low opportunity
Uzbekistan,8.8,Robust opportunity
Vanuatu,6.4,Fragile opportunity
"Venezuela, RB",9.7,Fragile opportunity
Viet Nam,9,Robust opportunity
West Bank and Gaza,2.4,Structural risk
"Yemen, Rep.",1.3,Structural risk
Zambia,9.7,Robust opportunity
Zimbabwe,4.4,Structural risk
